file,title,word_count,proposed_tags,category
2012-04-17-lista-de-google-groups.md,Lista de Google Groups,127,google;groups;que;una;lista,General
2014-02-23-and-in-an-age-when-innovation-is-increasingly-a.md,And in an age when innovation is increasingly a...,42,age;innovation;increasingly;learn;group,General
2014-08-06-en-zadia-software-buscamos-gente-para-trabajar.md,En Zadia Software buscamos gente para trabajar ...,83,que;buscamos;trabajar;zadia;software,Engineering & Product
2015-04-06-knowing-how-to-program-for-ios-makes-programmin.md,Knowing how to program for iOS makes programmin...,82,ios;knowing;how;program;makes,General
2015-06-10-i-like-the-evolutive-changes-introduced-by-appl.md,I like the evolutive changes introduced by Appl...,52,evolutive;changes;introduced;swift;appl,General
2015-10-09-the-long-term-value-of-a-company-is-ultimately.md,The long-term value of a company is ultimately ...,50,long;term;value;company;ultimately,General
2015-10-19-innovation-in-an-existing-company-is-not-just-t.md,Innovation in an existing company is not just t...,62,innovation;company;existing;not;culture,Leadership & Culture
2015-10-28-in-order-to-protect-the-team-you-have-to-go-ag.md,"In order to protect the team, you have to go ag...",98,you;order;protect;consultancy;value,General
2015-11-02-it-would-be-cool-having-real-time-updates-for-b.md,It would be cool having real time updates for b...,45,real;time;cool;having;updates,General
2016-02-19-at-pocket-media-we-are-looking-for-a-new-collea.md,At Pocket Media we are looking for a new collea...,45,are;pocket;media;collea;join,General
2016-04-13-native-ads-or-another-chance-to-make-ads-right-for.md,Native Ads or another chance to make ads right for the users,405,ads;users;native;chance;advertising,General
2016-08-10-we-have-many-job-openings-active-at-pocket-in.md,"We have many job openings active at Pocket, in ...",62,hiring;active;pocket;sales;business,Career & Hiring
2017-01-04-better-more-honest-and-useful-ads-will-respond.md,"Better, more honest and useful ads will respond...",100,better;honest;useful;ads;respond,General
2017-01-18-by-focusing-on-less-you-give-yourself-the-time.md,"By focusing on less, you give yourself the time...",57,you;focusing;less;give;yourself,General
2017-02-23-above-all-well-all-need-greater-literacy-ab.md,"> Above all, we'll all need greater literacy ab...",67,above;we'll;greater;literacy;process,Engineering & Product
2017-03-19-last-week-i-had-a-talk-in-spanish-with-jlia.md,Last week I had a talk (in Spanish) with Júlia ...,51,talk;had;spanish;lia;mario,Events & Community
2017-05-31-at-pocket-were-redefining-out-technology-stack.md,At Pocket we're redefining out technology stack...,114,we're;stack;pocket;redefining;out,General
2017-06-16-one-of-the-biggest-efforts-we-make-at-pocket-me.md,One of the biggest efforts we make at Pocket Me...,77,biggest;efforts;pocket;data;media,Engineering & Product
2017-06-26-loved-this-quote-most-of-the-successful-proje.md,Loved this quote: \,44,loved;quote;they're;but;successful,General
2017-09-21-very-interesting-read-about-how-logitech-went-f.md,Very interesting read about how Logitech went f...,61,logitech;interesting;reading;how;went,Learning & Growth
2017-11-05-whats-up-now-with-those-made-up-inspirational.md,What's up now with those made up \,47,now;what's;was;he's;inspirational,General
2017-12-11-but-culture-change-cant-be-achieved-through-to.md,But culture change can’t be achieved through to...,48,can;but;culture;change;achieved,Leadership & Culture
2018-01-25-next-february8th-emakinanlwill-host-a-meetu.md,"Next February 8th, Emakina.NL will host a meetu...",42,february;emakina;host;meetu;commerce,General
2018-03-02-talent-is-overrated-attitude-before-aptitude.md,Talent is overrated. Attitude before aptitude!,43,talent;overrated;attitude;aptitude;you,Career & Hiring
2018-03-02-talent-is-overratedattitude-before-aptitudewh.md,Talent is overrated.Attitude before aptitude!Wh...,43,talent;overrated;attitude;aptitude;you,Career & Hiring
2018-06-16-last-friday-night-tgif.md,Last Friday Night (T.G.I.F.),496,friday;image;night;article;was,General
2018-10-10-very-interesting-panel-discussion-yesterday-at.md,Very interesting panel discussion yesterday at ...,221,how;technology;interesting;panel;discussion,Engineering & Product
2018-11-07-together-with-my-colleagues-at-emakinanl-were.md,Together with my colleagues at Emakina.NL we're...,50,emakina;we're;run;collaborating;movember,General
2019-03-16-as-in-many-other-cities-housing-in-amsterdam-i.md,"As in many other cities, housing in Amsterdam i...",141,housing;other;cities;amsterdam;live,Work & Life
2019-04-28-when-working-in-a-remote-environment-its-so-ea.md,When working in a remote environment it's so ea...,80,remote-work;environment;it's;interaction;easy,Work & Life
2019-11-07-first-month-at-vanmoof-first-bike-recovered-fr.md,"First month at VanMoof, first bike recovered fr...",85,vanmoof;bike;recovered;sometimes;are,Work & Life
2019-11-25-based-on-the-of-people-that-i-know-that-work.md,Based on the % of people that I know that work ...,52,based;nodes;amsterdam;how;interesting,Work & Life
2020-01-30-whos-up-to-the-challenge-of-helping-people-get.md,Who's up to the challenge of helping people get...,63,who's;challenge;helping;vanmoof;bikes,General
