file,title,word_count,proposed_tags,category,draft_if_short
2011-07-28-rt-emilio_diez-curioso-cartel-publicitario-de.md,RT @emilio_diez: Curioso cartel publicitario de...,18,emilio;diez;curioso;cartel;publicitario,General,yes
2011-11-03-rt-hectorsm-desde-ayer-se-estn-distribuyendo.md,RT @hectorsm: Desde ayer se están distribuyendo...,28,hectorsm;desde;ayer;est;distribuyendo,General,yes
2012-04-17-lista-de-google-groups.md,Lista de Google Groups,127,lista;google;groups,General,yes
2012-06-28-rt-vazqueznaya-urge-contratar-ingeniero-infor.md,RT @vazqueznaya: Urge contratar Ingeniero Infor...,17,vazqueznaya;urge;contratar;ingeniero;infor,General,yes
2013-04-27-i-just-uploaded-catro-dous-adrianmoreno-on-sl.md,I just uploaded \,8,uploaded,General,yes
2013-12-21-httplnkdindeg9why.md,http://lnkd.in/dEg9wHy,4,http;lnkd;deg,General,yes
2013-12-21-transparencia-por-defecto.md,Transparencia por defecto,7,transparencia;por;defecto,General,yes
2014-02-08-en-softwhisper-buscan-a-un-developers-para-trab.md,En Softwhisper buscan a un developers para trab...,22,developer;softwhisper;buscan;para;trab,Engineering & Product,yes
2014-02-23-and-in-an-age-when-innovation-is-increasingly-a.md,And in an age when innovation is increasingly a...,42,age;innovation;increasingly,General,yes
2014-03-02-internet-est-controlado-por-14-personas.md,Internet está controlado por 14 personas...,10,internet;est;controlado;por;personas,General,yes
2014-03-12-a-ver-qu-tal-va-el-invento-con-el-referal-c.md,A ver qué tal va el invento... con el referal c...,22,ver;tal;invento;con;referal,General,yes
2014-04-08-una-respuesta-rpida-a-cada-vdeo-de-matt-cutts.md,Una respuesta rápida a cada vídeo de Matt Cutts...,20,una;respuesta;pida;cada;deo,General,yes
2014-08-06-en-zadia-software-buscamos-gente-para-trabajar.md,En Zadia Software buscamos gente para trabajar ...,83,software;zadia;buscamos;gente;para,Engineering & Product,yes
2014-10-17-experiencia-con-javaen-setpay-buscan-un-par-de.md,Experiencia con Java?En SetPay buscan un par de...,21,experiencia;con;java;setpay;buscan,General,yes
2014-12-09-para-los-del-mundillo-del-marketing-en-corua.md,"Para los del mundillo del marketing, en Coruña!",8,para;los;del;mundillo;marketing,General,yes
2014-12-15-en-bahia-software-estn-buscando-varios-perfile.md,En Bahia Software están buscando varios perfile...,18,software;bahia;est;buscando;varios,Engineering & Product,yes
2014-12-22-trabajos-varios-en-cartodb.md,Trabajos varios en CartoDB!,13,trabajos;varios;cartodb,General,yes
2015-01-13-atentos-webdevs-y-rubystas.md,"Atentos, webdevs y rubystas!",22,atentos;webdevs;rubystas,General,yes
2015-01-13-buen-sitio-para-trabajar-en-la-zona-de-corua.md,"Buen sitio para trabajar en la zona de Coruña, ...",22,buen;sitio;para;trabajar;zona,General,yes
2015-01-22-esto-es-fantstico-javascrip-para-automatizar.md,Esto es fantástico! Javascrip para automatizar ...,11,esto;fant;stico;javascrip;para,General,yes
2015-01-22-esto-es-fantsticojavascrip-para-automatizar-t.md,Esto es fantástico!Javascrip para automatizar t...,11,esto;fant;stico;javascrip;para,General,yes
2015-03-08-para-los-devs-en-la-zona-de-galicia-o-que-les.md,Para los devs en la zona de Galicia (o que les ...,23,para;los;devs;zona;galicia,General,yes
2015-04-06-knowing-how-to-program-for-ios-makes-programmin.md,Knowing how to program for iOS makes programmin...,82,knowing;program;ios;makes;programmin,General,no
2015-04-22-gran-lugar-equipo-y-proyecto-para-trabajar-en.md,"Gran lugar, equipo y proyecto para trabajar en ...",14,gran;lugar;equipo;proyecto;para,General,yes
2015-05-21-want-to-learn-a-little-bit-about-mobile-apps-mo.md,Want to learn a little bit about mobile apps mo...,18,learn;little;bit;mobile;apps,General,yes
2015-06-10-i-like-the-evolutive-changes-introduced-by-appl.md,I like the evolutive changes introduced by Appl...,52,like;evolutive;changes;introduced;appl,General,no
2015-07-07-at-the-mobile-company-we-are-looking-for-a-desi.md,At The Mobile Company we are looking for a desi...,24,company;mobile;desi,General,yes
2015-08-21-are-you-into-the-mobile-industry-and-want-to-wo.md,Are you into the mobile industry and want to wo...,27,mobile;industry,General,yes
2015-08-26-thoughts-about-financing-options-for-someone-th.md,Thoughts about financing options for someone th...,18,thoughts;financing;options;someone,General,yes
2015-10-09-the-long-term-value-of-a-company-is-ultimately.md,The long-term value of a company is ultimately ...,50,company;long;term;value;ultimately,General,no
2015-10-15-were-looking-at-a-shortage-thats-projected-i.md,“We’re looking at a shortage that’s projected i...,17,shortage;projected,General,yes
2015-10-19-innovation-in-an-existing-company-is-not-just-t.md,Innovation in an existing company is not just t...,62,company;innovation;existing,General,no
2015-10-20-failure-is-the-key-to-success-each-mistake-tea.md,Failure is the key to success; each mistake tea...,20,failure;key;success;mistake;tea,General,no
2015-10-28-in-order-to-protect-the-team-you-have-to-go-ag.md,"In order to protect the team, you have to go ag...",98,team;order;protect,Leadership & Culture,no
2015-11-02-it-would-be-cool-having-real-time-updates-for-b.md,It would be cool having real time updates for b...,45,cool;having;real;time;updates,General,no
2016-01-11-nice-guys-to-work-with-and-even-better-if-you.md,Nice guys to work with (and even better if you ...,18,guys;work;better,General,yes
2016-02-19-at-pocket-media-we-are-looking-for-a-new-collea.md,At Pocket Media we are looking for a new collea...,45,pocket;media;new;collea,General,yes
2016-02-22-if-you-are-around-the-mwc-in-barcelona-go-and.md,"If you are around the MWC in Barcelona, go and ...",21,around;mwc;barcelona,General,yes
2016-04-13-native-ads-or-another-chance-to-make-ads-right-for.md,Native Ads or another chance to make ads right for the users,405,native;ads;chance;right;users,General,no
2016-08-10-we-have-many-job-openings-active-at-pocket-in.md,"We have many job openings active at Pocket, in ...",62,hiring;active;pocket,Career & Hiring,yes
2017-01-02-the-doing-mindset-what-can-i-do-right-now-to.md,The doing mindset: \,26,doing;mindset,General,yes
2017-01-03-liked-day-4-big-data-on-aws-redshift-emr.md,Liked \,15,,General,yes
2017-01-03-so-the-next-logical-step-for-adtech-is-deep-le.md,So the next logical step for adtech is \,39,next;logical;step;adtech,General,yes
2017-01-04-better-more-honest-and-useful-ads-will-respond.md,"Better, more honest and useful ads will respond...",100,better;honest;useful;ads;respond,General,no
2017-01-06-liked-real-time-data-processing-using-aws-lamb.md,Liked \,10,,General,yes
2017-01-09-liked-deep-dive-and-best-practices-for-real-ti.md,Liked \,13,,General,yes
2017-01-18-by-focusing-on-less-you-give-yourself-the-time.md,"By focusing on less, you give yourself the time...",57,focusing;less;give;yourself;time,General,no
2017-02-01-liked-the-mobile-native-advertising-landscape.md,Liked \,10,,General,yes
2017-02-02-also-in-tech-were-in-the-hunt-for-many-positio.md,Also in tech we're in the hunt for many positio...,20,technology;we're;hunt;positio,Engineering & Product,yes
2017-02-23-above-all-well-all-need-greater-literacy-ab.md,"> Above all, we'll all need greater literacy ab...",67,above;we'll;greater;literacy,General,no
2017-03-19-last-week-i-had-a-talk-in-spanish-with-jlia.md,Last week I had a talk (in Spanish) with Júlia ...,51,talk;last;week;spanish;lia,Events & Community,no
2017-04-19-liked-netflix-and-containers-titus-on-slide.md,Liked \,7,,General,yes
2017-04-24-liked-streaming-data-analytics-with-amazon-kin.md,Liked \,12,,General,yes
2017-05-31-at-pocket-were-redefining-out-technology-stack.md,At Pocket we're redefining out technology stack...,114,technology;pocket;we're;redefining;stack,Engineering & Product,yes
2017-06-16-one-of-the-biggest-efforts-we-make-at-pocket-me.md,One of the biggest efforts we make at Pocket Me...,77,biggest;efforts;pocket,General,no
2017-06-26-loved-this-quote-most-of-the-successful-proje.md,Loved this quote: \,44,quote,General,no
2017-08-07-liked-deep-dive-redshift-with-a-focus-on-perf.md,Liked \,11,,General,yes
2017-08-15-in-order-to-surmount-the-diversity-of-problems.md,In order to surmount the diversity of problems ...,38,order;surmount;diversity;problems,General,yes
